fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
Ações de Marketing (Feira),0,,1328,901344,Jurídica,86552429000107
ECONODATA,0,,1752,1617677,Jurídica,08975557000150
Ações de Marketing (Feira),0,,1328,913550,Jurídica,10565969000163
Ações de Marketing (Feira),0,,1718,1426542,Jurídica,14795422000105
Indicação,0,,1328,917629,Jurídica,18821388000157
Ações de Marketing (Feira),0,,1216,1404406,Jurídica,19231576000198
ERP,1,1.0,1187,841730,Jurídica,91528562000168
Ligação / Visita Receptiva/ Cliente Contatou,0,,1216,1569580,Jurídica,51728194000187
ERP,2,1.0,1187,844008,Jurídica,90353111000174
ERP,1,1.0,1187,868849,Jurídica,01833899000196
ERP,1,1.0,1187,843885,Jurídica,15383564000128
ERP,1,1.0,1187,842810,Jurídica,07980115000139
ERP,1,1.0,1187,845072,Jurídica,06064714000140
ERP,2,1.0,1187,843067,Jurídica,05339769000152
Ligação / Visita Receptiva/ Cliente Contatou,0,,1188,932859,Jurídica,
Indicação,0,,1328,915122,Jurídica,92833946000157
ERP,1,1.0,1187,1531924,Jurídica,33545497000182
ERP,2,,1187,841590,Jurídica,91404251000197
Ligação / Visita Receptiva/ Cliente Contatou,0,,1225,917803,Jurídica,74728684000189
ECONODATA,0,,3761,2853263,Jurídica,04838301000140
ERP,1,1.0,1187,845313,Jurídica,02914524000113
Ações de Marketing (Feira),0,,1328,913932,Jurídica,05356542000115
ERP,1,1.0,1187,845011,Jurídica,89880975000165
Ligação / Visita Receptiva/ Cliente Contatou,0,,1225,915100,Jurídica,58538745000350
ERP,1,1.0,1187,845101,Jurídica,06216625000171
ERP,2,1.0,1187,844948,Jurídica,92544196000101
ERP,1,1.0,1187,845020,Jurídica,17291123000121
ERP,1,1.0,1187,841238,Jurídica,04281537000128
Indicação,0,,1328,1424232,Jurídica,92544196000365
Ações de Marketing (Feira),0,,1328,901382,Jurídica,28210906000150
Indicação,0,,1328,1281826,Jurídica,86047412000100
Ações de Marketing (Internet/Site),0,,1328,1185391,Jurídica,07849768000183
ERP,1,1.0,1187,843599,Jurídica,01648314000168
ECONODATA,0,,1752,1534946,Jurídica,34282159000168
Indicação,0,,1328,1401937,Jurídica,03795071001350
ECONODATA,0,,1752,1534827,Jurídica,01371222000183
ERP,1,1.0,1187,841800,Jurídica,05671897000107
ECONODATA,0,,1186,1524153,Jurídica,15249962000156
ERP,1,1.0,1187,841697,Jurídica,01243937000150
Indicação,5,,1298,1486697,Jurídica,15581991000110
ERP,0,,1187,845376,Jurídica,25206850000171
Ações de Marketing (Feira),0,,1718,1428995,Jurídica,11409192000100
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,1652616,Física,00451079981
Indicação,0,,1328,1406342,Jurídica,02129345000175
ECONODATA,0,,1328,1653279,Jurídica,20661615000176
Indicação,0,,1328,1271727,Jurídica,14178391000143
ERP,1,1.0,1187,843781,Jurídica,12662247000152
Indicação,0,,1328,1270258,Jurídica,06786985000109
ERP,1,1.0,1187,843382,Jurídica,90771833000149
Ações de Marketing (Feira),0,,1186,1409094,Jurídica,34489266000161
Indicação,0,,1328,917293,Jurídica,00341857000175
ERP,0,,1187,845589,Jurídica,13806846000165
ECONODATA,0,,1752,1617685,Filial,29737849000124
Ações de Marketing (Feira),0,,1718,1467265,Jurídica,19274649000129
Indicação,0,,1331,1612415,Jurídica,26090569000189
ERP,0,,1187,843149,Jurídica,47055959000198
Ligação / Visita Receptiva/ Cliente Contatou,0,,1188,1604556,Jurídica,08918421000108
Ações de Marketing (Feira),0,,1331,1643556,Jurídica,02240839000122
ERP,1,1.0,1187,843045,Jurídica,92548338000109
ERP,0,,1187,1217689,Jurídica,25154757000160
ERP,1,1.0,1187,932241,Jurídica,00637261000117
ERP,1,1.0,1187,842423,Jurídica,01238588000189
Ações de Marketing (Feira),0,,1718,1426569,Jurídica,61065298000102
ERP,1,1.0,1187,844821,Jurídica,07679849000182
Indicação,0,,1241,1548878,Jurídica,29138256000141
ECONODATA,0,,1752,1534925,Jurídica,28468706000100
ECONODATA,0,,1752,1545963,Jurídica,20269470000162
ECONODATA,0,,1752,1524586,Jurídica,05199685000160
Ações de Marketing (Feira),0,,1718,1431465,Jurídica,01679707000139
Ligação / Visita Receptiva/ Cliente Contatou,0,,1527,1406679,Jurídica,31971553000115
ERP,5,,1187,844181,Jurídica,10469551000152
ECONODATA,0,,1752,1524614,Jurídica,09448130000166
ERP,0,,1187,841541,Jurídica,05063899000105
ERP,1,1.0,1187,842324,Jurídica,09437917000122
Ligação / Visita Receptiva/ Cliente Contatou,0,,1718,1525637,Física,
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1342563,Jurídica,00200093000106
ERP,1,1.0,1187,841185,Jurídica,05958978000265
ECONODATA,0,,1752,1646753,Jurídica,28541403000167
ERP,1,1.0,1187,842883,Jurídica,00323232000342
